internal_id,category_name,total_products
all-costco-grocery.html,2-Day Delivery,120
cakes-cookies.html,Bakery & Desserts,32
beverages.html,Beverages & Water,148
breakfast.html,Breakfast,21
candy.html,Candy,163
cheese.html,Cheese & Dairy,4
household-cleaning.html,Cleaning Supplies,121
coffee-sweeteners.html,Coffee,101
deli.html,Deli,40
emergency-kits-supplies.html,Emergency Food Supplies & Kits,32
gift-baskets.html,Gift Baskets,108
kirkland-signature-groceries.html,Kirkland Signature Grocery,125
meat.html,Meat & Seafood,152
organic-groceries.html,Organic Groceries,37
pantry.html,Pantry & Dry Goods,189
paper-products-food-storage.html,Paper & Plastic Products,102
same-day-delivery.html,Same-Day Delivery,2
snacks.html,Snacks,300
wine.html,"Wine, Champagne & Sparkling",11
