category_id,category_name,total_products
430221,Fresh Food,0
450193,Pantry,0
16290442,Snacks,0
1514,Frozen Food,0
16290440,Candy,0
1499,Beverages,0
1493,Coffee,0
16240228,New Lower Price Food,0
2890103,Clean Eating,0
1545,"Meat, Poultry & Seafood",0
15760128,Limited Time Buys,0
16650183,Organic Food,0
1445,Bread & Bakery,0
8103,Member's Mark Grocery,0
7290106,Deli & Sides,0
1537,Produce,0
9060103,International Foods,0
15370265,Prepared Meals,0
1507,"Dairy, Eggs, & Cheese",0
15190203,New Grocery & Household,0
1040209,"Beer, Wine & Spirits",0
1240,Fresh Flowers,0
1580,Cigarettes & Tobacco,0
