id,name,gtin,category,brand,rating
P990395182,"Member's Mark Caramel Cookie Clusters, 23.46 oz.",19396848462,690107,Member's Mark,4.7728
prod22130342,"M&M'S Peanut Milk Chocolate Candy, 62 oz.",4000053321,690107,M&M'S,4.7749
prod22130341,"M&M'S Milk Chocolate Candy, 62 oz.",4000053319,690107,M&M'S,4.7311
164323,"Ferrero Rocher Premium Milk Chocolate Hazelnut, 48 ct.",980012048,690107,Ferrero Rocher,4.8456
prod22452302,"M&M'S Peanut Butter Milk Chocolate Candy, 55 oz.",4000054183,690107,M&M'S,4.7863
prod22270173,"M&M's Milk Chocolate Patriotic Mix, 62 oz.",4000053463,690107,M&M's,4.6975
prod22270174,"M&M'S Milk Chocolate Peanut Red, White & Blue Bulk Candy, 62 oz.",4000053465,690107,M&M'S,4.7269
prod24372632,HERSHEY'S S'mores Kit,3400047926,690107,Hershey's,4.4875
P03000612,"Mars Milk Chocolate Variety Pack Candy, 145 pcs. ",4000057985,690107,Mars Variety,4.7465
182959,"HERSHEY'S Variety Pack, Milk Chocolate Candy, 30 pk.",3400040595,690107,Hershey's,4.7696
prod18380257,"Dum Dum Original Mix Pops, 500 pcs.",3080010049,16290834,Dum Dums,4.8158
prod25490484,"HERSHEY'S Variety Pack Chocolate Candy, Minis, 220 pcs.",3400066181,690107,Hershey's,4.7274
P03006722,"Life Savers Wint-O-Green Mints Hard Candy, 3 lbs.",2200029074,1457,Life Savers,4.8671
prod8510250,"Mars Chocolate Candy Bars, Variety Pack, Full Size, 30 pk.",4000048290,690107,Mars Variety,4.7324
prod23210767,"Member's Mark Starlight Mints, 7 lbs.",7874232715,1457,Member's Mark,4.8113
prod21351071,"Tootsie Playtime Mix Bag, 4.75 lbs.",7172000881,16290835,Tootsie Roll,4.6819
198768,"HERSHEY'S Miniatures Variety Pack Chocolate Candy, 180 pcs.",3400021542,690107,Hershey's,4.782
P990390593,"Members Mark Dark Chocolate Covered Roasted Pistachios, 22 oz.",19396847510,690107,Member's Mark,4.7164
158721,"Blow Pops Assorted Mix, 100 pcs.",1420033869,16290834,CHARMS,4.7924
119102,"AirHeads Variety Pack, 0.55 oz., 90 pk.",7339006711,16290835,Airheads,4.8089
160635,"REESE'S Milk Chocolate Peanut Butter Cups, 1.5 oz., 36 pk.",3400044000,690107,Reese's,4.7474
P03005589,"Nerds Gummy Clusters, Party Size, 32 oz.",7920006820,16290835,Nerds,4.8816
P03000324,"HERSHEY'S Assorted Chocolate Factory Favorites Snack Size Candy, 155 pcs.",3400099758,690107,Hershey's ,4.6667
prod25450708,"Starburst & Skittles Chewy Candy, Variety Box, Full Size, 30 pk.",2200002279,16290835,Mars Variety,4.789
P03002743,REESE'S Milk Chocolate Peanut Butter Eggs Easter Candy 65 pcs.,3400048237,690107,Reese's,4.7225
prod6290003,"HERSHEY'S NUGGETS Assorted Chocolate Candy, 145 pcs.",3400001661,690107,Hershey's,4.7918
P03006750,"Mars Fundraiser Variety Pack Candy Bars, Full Size, 52 pk.",4000058308,690107,Mars Variety,4.8187
159938,"Tootsie Pops Assorted Mix, 100 pcs.",,690107,Tootsie,4.8078
119101,"Airheads Xtremes, 2 oz., 18 pk.",7339000837,16290835,Airheads,4.8015
P990332235,"Skittles & Lifesavers Variety Pack, 100 pcs.",2200029717,16290835,Mars,4.7618
P03000309,"SOUR PATCH KIDS and SWEDISH FISH Candy, Fun Size, 200 pk.",7046200880,16290835,Sour Patch Kids,4.796
157752,"M&M'S Peanut Milk Chocolate Candy, Singles Size, 1.74 oz., 48 pk.",4000001232,690107,M&M'S,4.71
128353,"Dubble Bubble Bubble Gum, 380 pcs. ",5964236360,1457,Dubble Bubble,4.7745
198767,"HERSHEY'S KISSES Milk Chocolate Candy, 330 pcs.",3400012296,690107,Hershey's,4.8405
prod8150240,"Snickers Milk Chocolate Candy Bars, Full Size, 1.86 oz., 48 pk.",4000052431,690107,Snickers,4.7304
prod8650445,"HERSHEY'S Chocolate Lovers Candy Bars, Variety Pack, Full Size, 52 pk.",3400039981,690107,Hershey's,4.7282
P990330133,"EXTRA Mint Sugar Free Chewing Gum, Variety Pack, 15 pc., 18 pk.",2200029483,1457,EXTRA,4.7457
P990346153,"JOLLY RANCHER & TWIZZLERS Fruit Flavored Candy, Variety Pack, Fun Size, 270 pcs.",3400045659,16290835,Twizzlers and Jolly Rancher,4.5492
P03010458,"Lindt LINDOR Assorted Chocolate Candy Truffles, 19 oz.",954243998,690107,Lindt,4.8331
157448,"Skittles Original Fruity Chewy Candy, Full Size, 2.17 oz., 36 pk.",4000001160,16290835,Skittles,4.531
prod14100147,"Butterfinger Candy Bars, Full Size, 1.9 oz., 36 pk.",9990082020,690107,Butterfinger,4.6698
163663,"SOUR PATCH KIDS Soft & Chewy Candy, 2 oz., 24 pk.",7046201234,16290835,Sour Patch Kids,4.7744
159941,"KIT KAT Milk Chocolate Wafer Candy, Full Size, 1.5 oz., 36 pk.",3400024600,690107,Kit Kat,4.7462
prod1110481,"Twix Caramel Cookie Chocolate Candy Bars, Full Size, 1.79 oz., 36 pk.",4000035391,690107,Twix,4.7926
P990365361,"HERSHEY'S Easter Springtime Mix Chocolate Candy, Variety Pack, 125 pcs.",3400099727,690107,Hershey,4.7462
P990335877,"Member's Mark Milk Chocolate Almonds, 48 oz.",19396840968,690107,Member's Mark,4.7724
160631,"HERSHEY'S Milk Chocolate Candy Bars, 1.55 oz., 36 pk.",3400024000,690107,Hershey's,4.7242
P03001144,"Member's Mark Milk Chocolate Sea Salt Caramels, 36 oz.",7874210798,690107,Member's Mark,4.8362
P03002839,"Member's Mark Milk Chocolate Pecan Caramel Clusters, 30.2 oz.",19396831968,690107,Member's Mark,4.6496
159969,"M&M'S Milk Chocolate Candy, Full Size, 1.69 oz., 48 pk.",4000001231,690107,M&M'S,4.7072
163104,"Skittles Sour Fruity Chewy Candy, Full Size, 1.8 oz., 24 pk.",4000001266,16290835,Skittles,4.5318
prod20100147,"Ring Pop Variety Pack, 0.5 oz., 44 pk.",4111601189,16290834,Ring Pop,4.8004
155513,"JOLLY RANCHER Assorted Fruit Flavored Hard Candy, 5 lbs.",1070015680,16290834,Jolly Rancher,4.4126
prod25340184,"Nerds Gummy Clusters Candy, Share Size, 3 oz., 12 pk.",7920024905,16290835,Nerds,4.8632
prod23030856,"Member's Mark Dark Chocolate Thins with Almonds & Sea Salt, 20 oz.",7874221923,690107,Member's Mark,4.7634
prod18140238,"SOUR PUNCH Rainbow Straws, Chewy Candy, 2 oz., 24 ct. ",4136405792,16290835,Sour Punch,4.6575
prod22321595,"HERSHEY'S Milk Chocolate Bars, Snack Size, 80 pcs.",3400040407,690107,Hershey's,4.821
P03002757,"Starburst Original Assorted Jelly Beans, 54 oz.",2200029050,16290835,Starburst,4.5219
