category_id,category_name,total_products
22394612,Bakery,399
22394613,"Beer, Wine & Spirits",637
22394614,Dairy,971
22394615,Deli,271
22394616,Frozen Foods,1081
22394617,Home & Floral,279
22394618,Meat,530
22394620,Produce,392
22394621,Seafood,92
22571166,Catering,46
22761682,Weekly BOGO,5
22840627,Meals on a Budget,14
22892351,Organic,94
22903579,Sedano's Brand,481
22904927,Charcuterie Board Items,86
22915453,Compare and Save,685
22922343,Nestle Deal,7
22954123,Build Your Own Smoothie,38
22975459,Quick Meals,64
23025743,Pan,5
23079105,Fair Essentials,50
