product_id,status,list_price,unit_price,sale_price,store_id
1822262!item.en-US,in stock,1449.99,1449.99,1449.99,1250-3pl
1732318!item.en-US,in stock,599.99,599.99,599.99,847_lg_n1f-edi
6660750!item.en-US,in stock,699.99,699.99,699.99,1250-3pl
1315089!item.en-US,out of stock,799.99,799.99,799.99,1-wh
1426119!item.en-US,in stock,649.99,649.99,649.99,1250-3pl
1719029!item.en-US,in stock,1199.99,1199.99,1199.99,1250-3pl
1051899!item.en-US,in stock,89.99,89.99,89.99,847_0-edi
1712913!item.en-US,in stock,549.99,549.99,549.99,1250-3pl
1700647!item.en-US,in stock,579.99,579.99,579.99,1250-3pl
1823433!item.en-US,in stock,949.99,949.99,949.99,1250-3pl
1051901!item.en-US,in stock,119.99,119.99,119.99,1-wh
1877524!item.en-US,in stock,999.99,999.99,999.99,1250-3pl
1751684!item.en-US,in stock,649.99,649.99,649.99,847_ss_u362-edi
1712915!item.en-US,in stock,629.99,629.99,629.99,1250-3pl
6660753!item.en-US,in stock,699.99,699.99,699.99,1250-3pl
1051909!item.en-US,in stock,159.99,159.99,159.99,847_0-edi
6660747!item.en-US,in stock,679.99,679.99,679.99,1250-3pl
1788286!item.en-US,in stock,779.99,779.99,779.99,847_0-edi
1788911!item.en-US,in stock,729.99,729.99,729.99,847_0-edi
1719030!item.en-US,in stock,999.99,999.99,999.99,1250-3pl
1766941!item.en-US,in stock,879.99,879.99,879.99,847_0-edi
1732332!item.en-US,in stock,849.99,849.99,849.99,1250-3pl
1600615!item.en-US,in stock,629.99,629.99,629.99,847_0-edi
1719033!item.en-US,in stock,1799.99,1799.99,1799.99,1250-3pl
1751687!item.en-US,in stock,699.99,699.99,699.99,847_ss_u362-edi
1822265!item.en-US,in stock,1099.99,1099.99,1099.99,1250-3pl
1688375!item.en-US,in stock,1029.99,1029.99,1029.99,847_ss_u362-edi
1356586!item.en-US,in stock,1279.99,1279.99,1279.99,1250-3pl
1425847!item.en-US,in stock,1399.99,1399.99,1399.99,1250-3pl
1904348!item.en-US,in stock,899.99,899.99,899.99,847_lg_n1f-edi
1425830!item.en-US,in stock,1079.99,1079.99,1079.99,1250-3pl
1706276!item.en-US,in stock,1149.99,1149.99,1149.99,847_lg_n1f-edi
1751692!item.en-US,in stock,659.99,659.99,659.99,847_ss_u362-edi
1675088!item.en-US,out of stock,1149.99,1149.99,1149.99,847_lg_n1f-edi
6660259!item.en-US,in stock,899.99,899.99,899.99,1250-3pl
1838056!item.en-US,in stock,1179.99,1179.99,1179.99,847_0-edi
1425654!item.en-US,in stock,749.99,749.99,749.99,1250-3pl
1600623!item.en-US,in stock,679.99,679.99,679.99,847_0-edi
1833048!item.en-US,in stock,1699.99,1699.99,1699.99,847_0-edi
1691253!item.en-US,in stock,599.99,599.99,599.99,1250-3pl
1760752!item.en-US,in stock,1329.99,1329.99,1329.99,847_0-edi
1878026!item.en-US,in stock,239.99,239.99,239.99,847_0-edi
1644529!item.en-US,in stock,759.99,759.99,759.99,847_ss_u362-edi
1813389!item.en-US,in stock,1129.99,1129.99,1129.99,847_ss_u362-edi
1942930!item.en-US,in stock,1199.99,1199.99,1199.99,847_0-edi
1813391!item.en-US,in stock,1129.99,1129.99,1129.99,847_ss_u362-edi
2244551!item.en-US,in stock,2699.99,2699.99,2699.99,1250-3pl
2244552!item.en-US,in stock,2999.99,2999.99,2999.99,1250-3pl
2244600!item.en-US,in stock,1699.99,1699.99,1699.99,1456-3pl
2244553!item.en-US,in stock,2049.99,2049.99,2049.99,1250-3pl
2244557!item.en-US,in stock,1899.99,1899.99,1899.99,1250-3pl
2244556!item.en-US,in stock,1799.99,1799.99,1799.99,1250-3pl
2244558!item.en-US,in stock,1199.99,1199.99,1199.99,1250-3pl
1619333!item.en-US,in stock,1899.99,1899.99,1899.99,1250-3pl
2244554!item.en-US,in stock,1399.99,1399.99,1399.99,1250-3pl
2244555!item.en-US,in stock,999.99,999.99,999.99,1250-3pl
1466477!item.en-US,in stock,399.99,399.99,399.99,1-wh
1762237!item.en-US,low stock,579.99,579.99,579.99,1-wh
1664462!item.en-US,out of stock,199.99,199.99,199.99,731-wm
1781264!item.en-US,in stock,799.99,799.99,799.99,1250-3pl
1862726!item.en-US,in stock,149.99,149.99,149.99,731-wm
1760993!item.en-US,out of stock,419.99,419.99,419.99,731-wm
1890326!item.en-US,in stock,399.99,399.99,399.99,1250-3pl
1474064!item.en-US,in stock,699.99,699.99,699.99,1250-3pl
1781262!item.en-US,in stock,699.99,699.99,699.99,1250-3pl
