id,name,upc,category,brand,weight,height,width,length,color
2244551!item.en-US,"Kutano 2-Door Reach-In Refrigerator, Stainless Steel",604716324353,/appliances.html,['Kutano'],['465 lb.'],,,,['Stainless Steel']
2244552!item.en-US,"Kutano 2-Door Reach-In Freezer, Stainless Steel",604716324339,/appliances.html,,,,,,['Stainless Steel']
2244600!item.en-US,"Kutano Merchandiser Refrigerator, Black",604716327965,/appliances.html,['Kutano'],['293 lb.'],,,,['Black']
2244553!item.en-US,"Kutano 2-Door Sandwich/Salad Top Prep Table, Stainless Steel",604716324346,/appliances.html,['Kutano'],['280 lb.'],,,,['Stainless Steel']
2244557!item.en-US,"Kutano Reach-In Freezer with Solid Door, Stainless Steel",604716326616,/appliances.html,,,,,,['Stainless Steel']
2244556!item.en-US,"Kutano Reach-In Refrigerator with Solid Door, Stainless Steel",604716326593,/appliances.html,['Kutano'],['295 lb.'],,,,['Stainless Steel']
2244558!item.en-US,"Kutano 27"" Salad and Sandwich Prep Table, Stainless Steel",604716326609,/appliances.html,['Kutano'],['188 lb.'],,,,['Stainless Steel']
1619333!item.en-US,"Uniflow Commercial Ice Machine, 75 lb Capacity, Stainless Steel",845035029424,/appliances.html,['Uniflow'],,,,,
2244554!item.en-US,"Kutano 36"" Restaurant Range, Gas, 6-Burner, Stainless Steel",604716324322,/appliances.html,['Kutano'],,,,,['Stainless Steel']
2244555!item.en-US,"Kutano Natural Gas Fryer, 3-Burner, 50 lb Capacity, 105K BTU, Stainless Steel",604716324360,/appliances.html,,['167 lb.'],,,,['Stainless Steel']
V100343!item.en-US,Samsung 4-piece ELECTRIC Kitchen Package with Counter Depth Refrigerator,400000V100343,/appliances.html,['Samsung'],,,,,['Stainless Steel']
V100344!item.en-US,Samsung 4-piece GAS Kitchen Package with Counter Depth Refrigerator,400000V100344,/appliances.html,['Samsung'],,,,,['Stainless Steel']
V100340!item.en-US,Samsung 4-piece GAS Kitchen Package with Full Depth Refrigerator,400000V100340,/appliances.html,['Samsung'],,,,,['Stainless Steel']
