brand,image_thumbnail,is_local,name,slug,uom,asin
Whole Foods Market,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5e01386bdc8c71464f7e57ff_00084617510046-glamor-frontpackageglamor-2019-11-15t16-13-18-photos-iphone-quality-90-1-14-3-user-5c4f16e4fc9c91accd101ce4-slve-625654.jpg,False,Medium Soup,whole-foods-market-medium-soup-b07q6mj58k,,b07q6mj58k
Whole Foods Market,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5e013876dc8c71464f7e5824_00084617510053-glamor-frontpackageglamor-2019-11-15t16-12-49-photos-iphone-quality-90-1-14-3-user-5c4f16e4fc9c91accd101ce4-qmw0-614012.jpg,False,Large Soup,whole-foods-market-large-soup-b07fw55qdn,,b07fw55qdn
Whole Foods Market,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5e013bf53761e572643cf929_dld-00084617510039-glamor-frontpackageglamor-2019-11-15t16-13-46-photos-iphone-quality-90-1-14-3-user-5c4f16e4fc9c91accd101ce4-61xq-401646-1577139188242.jpg,False,Small Soup,whole-foods-market-small-soup-b07fw755n1,,b07fw755n1
Whole Foods Market,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5f187b7cd0a6e37236a42339_2023-03-30_21-30-25_front.main.jpg,False,Classic Rotisserie Chicken,whole-foods-market-classic-rotisserie-chicken-b07fz8zrvv,,b07fz8zrvv
Whole Foods Market,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/606764fd4f38df1a515386f9_pfds-sonoma-chicken-salad.jpg,False,Sonoma Chicken Salad,whole-foods-market-sonoma-chicken-salad-b08rkxcq7s,lb,b08rkxcq7s
Whole Foods Market,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6410d3b3fe47d96cc6a90519_2023-03-27_15-45-08_front.main.jpg,False,Classic Chicken Salad,whole-foods-market-classic-chicken-salad-b08rky9csb,lb,b08rky9csb
Whole Foods Market,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6410db4cfe47d96cc6aa424a_2023-03-27_15-55-43_front.main.jpg,False,Classic Tuna Salad,whole-foods-market-classic-tuna-salad-b08rkyfdt5,lb,b08rkyfdt5
Whole Foods Market,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/66478a44fc37f9c46e2333f6_2024-05-17_17-47-11_front.main.jpg,False,"Nana's Chicken Noodle Soup, 24 oz",whole-foods-market-nanas-chicken-noodle-soup-24-oz-b0884vywr3,,b0884vywr3
Wellshire Farms,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5fc7fe5bccadb3168eaed40b_jamierowley-2020-cen-ecommerce-pfds-blackforestham.jpg,False,Black Forest Ham,wellshire-farms-black-forest-ham-b07hm42pql,lb,b07hm42pql
Whole Foods Market,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5ff4d48a2e8f4a5ffb48ad83_2023-02-28_03-54-20_front.main.jpg,False,Paleo Friendly Grilled Salmon,whole-foods-market-paleo-friendly-grilled-salmon-b08b6fdspy,lb,b08b6fdspy
Whole Foods Market,https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5f163325331e03ddf08b2a50_00000000000000-glamor-ingredientsglamor-2020-07-17t00-24-53-iphone-x-quality-90-1-21-1-user-5984ad42a967f880524de2c4-chwm-667115.jpg,False,"Whole Cheese Pizza, 1 each",whole-foods-market-whole-cheese-pizza-1-each-b07fzm6kyv,,b07fzm6kyv
