internal_id,category_name,total_products
all-costco-grocery.html,2-Day Delivery,119
cakes-cookies.html,Bakery & Desserts,32
beverages.html,Beverages & Water,152
breakfast.html,Breakfast,21
candy.html,Candy,166
cheese.html,Cheese & Dairy,4
household-cleaning.html,Cleaning Supplies,120
coffee-sweeteners.html,Coffee,102
deli.html,Deli,39
emergency-kits-supplies.html,Emergency Food Supplies & Kits,32
gift-baskets.html,Gift Baskets,104
kirkland-signature-groceries.html,Kirkland Signature Grocery,126
meat.html,Meat & Seafood,152
organic-groceries.html,Organic Groceries,37
pantry.html,Pantry & Dry Goods,188
paper-products-food-storage.html,Paper & Plastic Products,104
same-day-delivery.html,Same-Day Delivery,2
snacks.html,Snacks,302
wine.html,"Wine, Champagne & Sparkling",11
