product_id,status,list_price,unit_price,sale_price,store_id,date
1268728!item.en-US,in stock,12.99,12.99,12.99,1249,2025-05-13 12:35:20
107979!item.en-US,in stock,24.49,24.49,24.49,1249,2025-05-13 12:35:20
376052!item.en-US,in stock,23.99,23.99,23.99,1249,2025-05-13 12:35:20
1700118!item.en-US,in stock,15.99,15.99,15.99,1249,2025-05-13 12:35:20
401621!item.en-US,in stock,20.99,20.99,20.99,1249,2025-05-13 12:35:20
1481907!item.en-US,in stock,22.99,22.99,22.99,1249,2025-05-13 12:35:20
1185317!item.en-US,in stock,15.99,15.99,15.99,1249,2025-05-13 12:35:20
1199479!item.en-US,in stock,18.99,18.99,18.99,1249,2025-05-13 12:35:20
1552446!item.en-US,in stock,19.99,19.99,19.99,1249,2025-05-13 12:35:20
1016094!item.en-US,in stock,15.99,15.99,15.99,1249,2025-05-13 12:35:20
1644605!item.en-US,in stock,15.99,15.99,15.99,1249,2025-05-13 12:35:20
1199868!item.en-US,in stock,18.99,18.99,18.99,1249,2025-05-13 12:35:20
521658!item.en-US,in stock,18.99,18.99,18.99,1249,2025-05-13 12:35:20
1746847!item.en-US,in stock,21.99,21.99,21.99,1249,2025-05-13 12:35:20
1713755!item.en-US,in stock,23.49,23.49,23.49,1249,2025-05-13 12:35:20
1394201!item.en-US,in stock,12.99,12.99,12.99,1249,2025-05-13 12:35:20
1792368!item.en-US,in stock,25.99,25.99,25.99,1249,2025-05-13 12:35:20
897342!item.en-US,in stock,11.99,11.99,11.99,1249,2025-05-13 12:35:20
1495250!item.en-US,in stock,23.49,23.49,23.49,1249,2025-05-13 12:35:20
242668!item.en-US,in stock,42.99,42.99,42.99,1249,2025-05-13 12:35:20
1299062!item.en-US,in stock,20.99,20.99,20.99,1249,2025-05-13 12:35:20
1242342!item.en-US,in stock,15.69,15.69,15.69,1249,2025-05-13 12:35:20
2990!item.en-US,in stock,15.99,15.99,15.99,1249,2025-05-13 12:35:20
1002373!item.en-US,in stock,9.99,9.99,9.99,1249,2025-05-13 12:35:20
1579880!item.en-US,in stock,20.99,20.99,20.99,1249,2025-05-13 12:35:20
711509!item.en-US,in stock,42.99,42.99,42.99,1249,2025-05-13 12:35:20
1218891!item.en-US,in stock,23.99,23.99,23.99,1249,2025-05-13 12:35:20
736083!item.en-US,in stock,7.49,7.49,7.49,1249,2025-05-13 12:35:20
1692336!item.en-US,low stock,28.99,28.99,28.99,1249,2025-05-13 12:35:20
