product_id,status,list_price,unit_price,sale_price,store_id,date
1713755!item.en-US,in stock,23.49,23.49,23.49,1249,2025-05-16 08:34:31
1394201!item.en-US,in stock,12.99,12.99,12.99,1249,2025-05-16 08:34:31
1792368!item.en-US,in stock,25.99,19.99,19.99,1249,2025-05-16 08:34:31
897342!item.en-US,in stock,11.99,9.49,9.49,1249,2025-05-16 08:34:31
1495250!item.en-US,in stock,23.49,23.49,23.49,1249,2025-05-16 08:34:31
242668!item.en-US,in stock,42.99,34.99,34.99,1249,2025-05-16 08:34:31
1299062!item.en-US,in stock,20.99,20.99,20.99,1249,2025-05-16 08:34:31
1242342!item.en-US,in stock,15.69,15.69,15.69,1249,2025-05-16 08:34:31
2990!item.en-US,in stock,15.99,15.99,15.99,1249,2025-05-16 08:34:31
1002373!item.en-US,in stock,9.99,9.99,9.99,1249,2025-05-16 08:34:31
1579880!item.en-US,in stock,20.99,20.99,20.99,1249,2025-05-16 08:34:31
711509!item.en-US,in stock,42.99,34.99,34.99,1249,2025-05-16 08:34:31
1218891!item.en-US,in stock,23.99,23.99,23.99,1249,2025-05-16 08:34:31
736083!item.en-US,in stock,7.49,7.49,7.49,1249,2025-05-16 08:34:31
1692336!item.en-US,low stock,28.99,28.99,28.99,1249,2025-05-16 08:34:31
438851!item.en-US,in stock,15.49,15.49,15.49,1249,2025-05-16 08:34:31
790652!item.en-US,in stock,12.99,12.99,12.99,1249,2025-05-16 08:34:31
1795394!item.en-US,in stock,19.49,14.69,14.69,1249,2025-05-16 08:34:31
1272413!item.en-US,in stock,11.79,11.79,11.79,1249,2025-05-16 08:34:31
1498286!item.en-US,in stock,18.99,18.99,18.99,1249,2025-05-16 08:34:31
1779098!item.en-US,in stock,21.99,21.99,21.99,1249,2025-05-16 08:34:31
1743030!item.en-US,in stock,15.99,15.99,15.99,1249,2025-05-16 08:34:31
1174811!item.en-US,in stock,17.59,17.59,17.59,1249,2025-05-16 08:34:31
701249!item.en-US,in stock,18.99,18.99,18.99,1249,2025-05-16 08:34:31
473505!item.en-US,in stock,13.99,13.99,13.99,1249,2025-05-16 08:34:31
1202923!item.en-US,in stock,27.99,27.99,27.99,1249,2025-05-16 08:34:31
1806764!item.en-US,in stock,23.99,23.99,23.99,1249,2025-05-16 08:34:31
1834232!item.en-US,in stock,24.99,24.99,24.99,1249,2025-05-16 08:34:31
118652!item.en-US,in stock,19.99,19.99,19.99,1249,2025-05-16 08:34:31
1406644!item.en-US,in stock,11.39,11.39,11.39,1249,2025-05-16 08:34:31
316629!item.en-US,in stock,12.99,12.99,12.99,1249,2025-05-16 08:34:31
617686!item.en-US,in stock,12.99,12.99,12.99,1249,2025-05-16 08:34:31
1649376!item.en-US,in stock,17.99,17.99,17.99,1249,2025-05-16 08:34:31
1652990!item.en-US,in stock,19.99,19.99,19.99,1249,2025-05-16 08:34:31
1625149!item.en-US,in stock,19.99,17.99,17.99,1249,2025-05-16 08:34:31
1731104!item.en-US,in stock,12.99,9.99,9.99,1249,2025-05-16 08:34:31
1800413!item.en-US,in stock,16.99,16.99,16.99,1249,2025-05-16 08:34:31
1613181!item.en-US,in stock,14.99,14.99,14.99,1249,2025-05-16 08:34:31
1695130!item.en-US,in stock,19.99,19.99,19.99,1249,2025-05-16 08:34:31
2322010!item.en-US,in stock,15.99,15.99,15.99,1249,2025-05-16 08:34:31
1281762!item.en-US,in stock,11.99,11.99,11.99,1249,2025-05-16 08:34:31
1421932!item.en-US,in stock,18.49,18.49,18.49,1249,2025-05-16 08:34:31
1285702!item.en-US,in stock,18.99,18.99,18.99,1249,2025-05-16 08:34:31
685586!item.en-US,in stock,16.49,16.49,16.49,1249,2025-05-16 08:34:31
1504495!item.en-US,in stock,15.99,11.99,11.99,1249,2025-05-16 08:34:31
1811598!item.en-US,in stock,16.99,12.49,12.49,1249,2025-05-16 08:34:31
1421933!item.en-US,in stock,18.49,18.49,18.49,1249,2025-05-16 08:34:31
1695155!item.en-US,in stock,19.99,19.99,19.99,1249,2025-05-16 08:34:31
1627198!item.en-US,in stock,19.99,17.99,17.99,1249,2025-05-16 08:34:31
1695152!item.en-US,in stock,19.99,19.99,19.99,1249,2025-05-16 08:34:31
1692422!item.en-US,in stock,29.99,29.99,29.99,1249,2025-05-16 08:34:31
1886106!item.en-US,in stock,14.99,10.99,10.99,1249,2025-05-16 08:34:31
1009739!item.en-US,in stock,27.99,27.99,27.99,1249,2025-05-16 08:34:31
1798450!item.en-US,in stock,34.99,28.49,28.49,1249,2025-05-16 08:34:31
2322011!item.en-US,in stock,15.99,15.99,15.99,1249,2025-05-16 08:34:31
1806649!item.en-US,in stock,21.99,21.99,21.99,1249,2025-05-16 08:34:31
1397147!item.en-US,in stock,13.99,13.99,13.99,1249,2025-05-16 08:34:31
1418060!item.en-US,in stock,11.99,11.99,11.99,1249,2025-05-16 08:34:31
1492769!item.en-US,in stock,24.99,19.99,19.99,1249,2025-05-16 08:34:31
1587186!item.en-US,in stock,49.99,39.99,39.99,1249,2025-05-16 08:34:31
1516973!item.en-US,in stock,18.99,18.99,18.99,1249,2025-05-16 08:34:31
1587357!item.en-US,in stock,31.99,31.99,31.99,1249,2025-05-16 08:34:31
664635!item.en-US,in stock,16.99,16.99,16.99,1249,2025-05-16 08:34:31
662821!item.en-US,in stock,20.99,18.99,18.99,1249,2025-05-16 08:34:31
1699741!item.en-US,in stock,31.99,31.99,31.99,1249,2025-05-16 08:34:31
