internal_id,category_name,total_products
22394611,Shop,34699
22394612,Bakery,393
22394613,"Beer, Wine & Spirits",636
22394614,Dairy,971
22394615,Deli,269
22394616,Frozen Foods,1093
22394617,Home & Floral,278
22394618,Meat,533
22394619,Pantry,10636
22394620,Produce,393
22394621,Seafood,92
22394622,Breads from the Aisle,123
22394623,Buns & Rolls,46
22394624,Freshly Baked & Artisan Bread,19
22394626,Packaged Sweets & Desserts,5
22394627,Refrigerated Dough,3
22394629,Specialty,2
22394631,Sweets & Desserts,156
22394633,Barware & Accessories,5
22394634,Beer,274
22394635,Cocktail Mixes & Mixers,4
22394636,Coolers,1
22394638,Liquor,20
22394639,Wine & Champagne,312
22394640,Biscuits & Dough,35
22394641,Butter & Margarine,75
22394642,Cheese,290
22394644,Cottage Cheese & Sour Cream,35
22394645,Eggs,30
22394646,Juice and Drinks,106
22394647,Milk & Cream,158
22394648,Milk Alternatives,51
22394649,Pudding & Gelatin,32
22394650,Yogurt,134
22394653,Drinks,4
22394654,Freshly Sliced Cheese,50
22394655,Freshly Sliced Meat,63
22394656,Hot Food and Prepared,124
22394657,Lunch Meat,1
22394659,Packaged Cheese,2
22394660,Party Favorites,7
22394661,Pasta & Salads,2
22394662,Appetizers & Snacks,66
22394663,Bread & Dough,43
22394664,Breakfast Food,42
22394665,Desserts,7
22394666,"Fruit, Drinks & Juices",46
22394668,"Ice Cream, Treats & Toppings",361
22394669,Meals & Entrees,244
22394670,Meat Substitutions,2
22394671,"Meat, Seafood & Poultry",58
22394672,Pizza,32
22394673,Sides,2
22394674,Vegetables,129
22394675,Floral,48
22394676,Home,224
22394677,Bacon,22
22394678,Beef & Steak,105
22394679,Brats & Sausages,41
22394680,Chicken,58
22394682,Duck & Game,1
22394683,Frozen Meat,14
22394684,Goat,1
22394685,Ham,20
22394686,Lamb & Veal,3
22394687,Meat Alternatives,2
22394688,Meatballs & Meatloaf,3
22394689,"Packaged Hot Dogs, Sausages & Lunch Meat",125
22394690,Packaged Meats,11
22394691,Pork,98
22394692,Smokehouse,1
22394693,Turkey,21
22394694,Baby,279
22394695,Beverages,1531
22394696,"Canned Goods, Soups & Broths",951
22394697,Cereal & Breakfast Foods,222
22394698,"Condiments, Sauces & Marinades",483
22394699,Cooking & Baking Needs,892
22394700,Health & Personal Care,1223
22394701,Household,1270
22394702,International & World Foods,1080
