internal_id,category_name,total_products
22394612,Bakery,393
22394613,"Beer, Wine & Spirits",636
22394614,Dairy,971
22394615,Deli,269
22394616,Frozen Foods,1093
22394617,Home & Floral,278
22394618,Meat,533
22394620,Produce,393
22394621,Seafood,92
22571166,Catering,46
22761682,Weekly BOGO,9
22840627,Meals on a Budget,14
22892351,Organic,94
22903579,Sedano's Brand,478
22904927,Charcuterie Board Items,86
22915453,Compare and Save,683
22922343,Nestle Deal,7
22954123,Build Your Own Smoothie,38
22975459,Quick Meals,64
23025743,Pan,5
23079105,Fair Essentials,50
