internal_id,address,city,state,latitude,longitude
4794,3530 Lakeland Highlands Rd,Lakeland,FL,27.998045,-81.921934
6441,4600 Us Highway 98 N,Lakeland,FL,28.101404,-81.976851
4782,4763 West Irlo Bronson Mem Hwy,Kissimmee,FL,28.327013,-81.467867
4801,10385 Big Bend Rd,Riverview,FL,27.789222,-82.336247
6403,2021 W Brandon Blvd,Brandon,FL,27.934538,-82.316816
8290,9498 S Orange Blossom Trl,Orlando,FL,28.422392,-81.407369
4828,11920 Narcoossee Rd,Orlando,FL,28.392886,-81.248783
8141,4255 W New Haven Ave,Melbourne,FL,28.077123,-80.696166
6445,17700 Murdock Cir,Port charlotte,FL,27.007817,-82.154528
6218,7810 W Colonial Dr,Orlando,FL,28.549814,-81.489071
4772,300 N Cattlemen Rd,Sarasota,FL,27.341357,-82.453814
4852,27727 State Road 56,Wesley chapel,FL,28.188095,-82.357411
8201,5300 30th St E,Bradenton,FL,27.446065,-82.528363
6212,7701 E Colonial Dr,Orlando,FL,28.569703,-81.283461
4991,450 Townsend Rd,Cocoa,FL,28.362441,-80.794015
6520,5565 20th St,Vero beach,FL,27.636393,-80.444785
6401,15835 North Dale Mabry,Tampa,FL,28.096468,-82.500109
6189,1500 S. Orange Blossom Trail,Apopka,FL,28.653935,-81.471916
4861,1725 34th St N,St petersburg,FL,27.788913,-82.676691
4972,1750 SW Gatlin Blvd,Port st lucie,FL,27.262041,-80.401341
6387,7001 Park Blvd,Pinellas park,FL,27.840737,-82.734927
4857,301 SW Pine Island Road,Cape Coral,FL,26.651866,-81.979982
6420,2575 Gulf To Bay Blvd,Clearwater,FL,27.958771,-82.731703
8130,5170 S Cleveland Ave,Fort myers,FL,26.585268,-81.874927
4785,1101 Rinehart Rd,Sanford,FL,28.791381,-81.340829
8150,10900 S Us Highway 1,Port st lucie,FL,27.267556,-80.283756
6448,4330 Us 19,New port richey,FL,28.221638,-82.732864
4818,13360 Cortez Blvd,Brooksville,FL,28.530698,-82.502617
4998,755 N. Hwy 27/441,Lady lake,FL,28.934497,-81.931247
6364,2550 Immokalee Rd,Naples,FL,26.270046,-81.768509
