category_id,category_name,total_products
produce,Produce,275
dairy-eggs,Dairy & Eggs,695
meat,Meat,196
prepared-foods,Prepared Foods,79
pantry-essentials,Pantry Essentials,2222
breads-rolls-bakery,"Breads, Rolls & Bakery",261
desserts,Desserts,204
body-care,Body Care,671
supplements,Supplements,737
frozen-foods,Frozen Foods,489
snacks-chips-salsas-dips,"Snacks, Chips, Salsas & Dips",1031
seafood,Seafood,12
beverages,Beverages,937
wine-beer-spirits,"Wine, Beer & Spirits",520
beauty,Beauty,494
floral,Floral,22
household,Household,158
baby-child,Baby & Child,165
lifestyle,Lifestyle,74
pet,Pet,86
